Date,Open,High,Low,Close,Volume,Change
2014_8_11_,1308.4,1309.7,1305.3,1308.5,0.19K,-0.03%
2014_8_8_,1310.8,1322.1,1308,1308.9,0.59K,-0.14%
2014_8_7_,1305.3,1313.2,1302.5,1310.8,0.23K,0.31%
2014_8_6_,1288.1,1309,1287.8,1306.7,0.71K,1.77%
2014_8_5_,1288,1292.7,1282.6,1284,0.83K,-0.29%
2014_8_4_,1294.4,1295,1285.9,1287.7,0.92K,-0.46%
2014_8_1_,1284.1,1296.6,1279.7,1293.6,1.99K,0.96%
2014_7_31_,1295.1,1297.3,1280.6,1281.3,5.66K,-1.05%
2014_7_30_,1298.6,1303,1291,1294.9,36.19K,-0.26%
2014_7_29_,1310.9,1310.9,1310,1298.3,0.05K,-0.38%
2014_7_28_,1307.4,1308,1304.3,1303.3,0.05K,0.02%
2014_7_25_,1294.8,1294.8,1294.8,1303.1,0.01K,0.97%
2014_7_24_,1297.5,1297.5,1297.5,1290.6,-,-1.07%
2014_7_23_,1304.5,1304.5,1304.5,1304.5,18.65K,-0.12%
2014_7_22_,1306.1,1306.1,1306.1,1306.1,-,-0.58%
2014_7_21_,1311,1315.5,1311,1313.7,0.02K,0.34%
2014_7_18_,1322.7,1322.7,1306.2,1309.2,0.03K,-0.57%
2014_7_17_,1303.1,1323.8,1303.1,1316.7,0.02K,1.32%
2014_7_16_,1298.4,1303.1,1296.9,1299.6,0.03K,0.21%
2014_7_15_,1307.4,1312.1,1294.1,1296.9,0.37K,-0.72%
2014_7_14_,1332.8,1332.8,1304.7,1306.3,0.10K,-2.30%
2014_7_11_,1337.9,1339,1336.2,1337,0.11K,-0.13%
2014_7_10_,1330.5,1343.7,1328,1338.7,0.03K,1.13%
2014_7_9_,1324,1330.4,1324,1323.8,0.02K,0.59%
2014_7_8_,1318.4,1323.5,1316,1316,0.01K,-0.04%
2014_7_7_,1319.6,1320.3,1313.2,1316.5,0.09K,-0.36%
2014_7_4_,1321.1,1324,1319.6,1321.3,-,0.07%
2014_7_3_,1327.3,1327.7,1313,1320.4,0.04K,-0.77%
2014_7_2_,1326.8,1330.7,1326.8,1330.7,0.23K,0.32%
2014_7_1_,1326.7,1331.4,1326.2,1326.4,0.05K,0.35%
2014_6_30_,1315.3,1328.7,1311.8,1321.8,0.74K,0.21%
2014_6_27_,1317.4,1320.9,1313.3,1319,0.63K,0.22%
2014_6_26_,1319.6,1319.6,1312.4,1316.1,0.59K,-0.46%
2014_6_25_,1315.3,1323.4,1312,1322.2,0.29K,0.10%
2014_6_24_,1315.6,1325.6,1315.6,1320.9,0.22K,0.22%
2014_6_23_,1312.3,1316.9,1312.3,1318,0.14K,0.14%
2014_6_20_,1321.4,1321.4,1306.8,1316.2,0.25K,0.19%
2014_6_19_,1277.2,1321,1277.2,1313.7,0.60K,3.25%
2014_6_18_,1269.9,1272.7,1267.4,1272.4,0.14K,0.06%
2014_6_17_,1272.8,1272.8,1260.9,1271.7,0.82K,-0.25%
2014_6_16_,1279.8,1283.5,1270.8,1274.9,0.33K,0.09%
2014_6_13_,1272.5,1274.7,1271.3,1273.7,0.15K,0.01%
2014_6_12_,1260,1274.5,1260,1273.6,0.13K,1.02%
2014_6_11_,1259.9,1264.4,1259.1,1260.8,0.13K,0.08%
