Date,Open,High,Low,Close,Change
2015_10_2_,1.2195,1.2268,1.2181,1.2195,0.00%
2015_10_1_,1.2192,1.2213,1.218,1.2195,0.03%
2015_9_30_,1.2178,1.2204,1.2169,1.2191,0.10%
2015_9_29_,1.217,1.219,1.2156,1.2179,0.07%
2015_9_28_,1.2162,1.22,1.2155,1.217,0.09%
2015_9_25_,1.2142,1.2179,1.2133,1.2159,0.14%
2015_9_24_,1.2142,1.2185,1.2129,1.2142,0.00%
2015_9_23_,1.2158,1.2162,1.2086,1.2142,-0.13%
2015_9_22_,1.2168,1.2182,1.2145,1.2158,-0.08%
2015_9_21_,1.216,1.2196,1.2157,1.2168,-0.02%
2015_9_18_,1.2181,1.2259,1.216,1.217,-0.07%
2015_9_17_,1.2166,1.2188,1.2066,1.2179,0.08%
2015_9_16_,1.2165,1.2179,1.2139,1.2169,0.03%
2015_9_15_,1.2172,1.2182,1.2146,1.2165,-0.06%
2015_9_14_,1.2166,1.226,1.2153,1.2172,0.07%
2015_9_11_,1.215,1.2176,1.2145,1.2163,0.11%
2015_9_10_,1.2151,1.2172,1.2122,1.215,-0.01%
2015_9_9_,1.2171,1.2186,1.2111,1.2151,-0.16%
2015_9_8_,1.2171,1.22,1.2145,1.2171,0.00%
2015_9_7_,1.2201,1.2224,1.2146,1.2171,-0.16%
2015_9_4_,1.2196,1.2205,1.2146,1.2191,-0.04%
2015_9_3_,1.2186,1.2206,1.2159,1.2196,0.05%
2015_9_2_,1.2183,1.2211,1.2165,1.219,0.06%
2015_9_1_,1.2151,1.219,1.2128,1.2183,0.25%
2015_8_31_,1.2155,1.221,1.212,1.2153,0.23%
2015_8_28_,1.2096,1.2145,1.2085,1.2125,0.24%
2015_8_27_,1.2095,1.2128,1.206,1.2096,0.01%
2015_8_26_,1.2092,1.2157,1.2057,1.2095,0.06%
2015_8_25_,1.2101,1.2124,1.1997,1.2088,-0.11%
2015_8_24_,1.2126,1.2291,1.2085,1.2101,-0.33%
2015_8_21_,1.2131,1.2146,1.2105,1.2141,0.08%
2015_8_20_,1.2124,1.2144,1.2108,1.2131,0.06%
2015_8_19_,1.2128,1.2139,1.2044,1.2124,-0.03%
2015_8_18_,1.2128,1.214,1.2085,1.2128,0.00%
2015_8_17_,1.2114,1.2139,1.21,1.2128,-0.02%
2015_8_14_,1.2124,1.2164,1.2052,1.213,0.05%
2015_8_13_,1.2146,1.215,1.2033,1.2124,-0.18%
2015_8_12_,1.2263,1.2282,1.2022,1.2146,-0.95%
2015_8_11_,1.2482,1.2493,1.2246,1.2263,-1.75%
2015_8_10_,1.2482,1.2497,1.2443,1.2482,-0.06%
2015_8_7_,1.2478,1.25,1.2438,1.249,0.07%
2015_8_6_,1.2484,1.2494,1.2472,1.2481,-0.02%
2015_8_5_,1.2481,1.2678,1.2442,1.2484,0.02%
2015_8_4_,1.2484,1.2567,1.2471,1.2481,-0.02%
2015_8_3_,1.2467,1.2502,1.2464,1.2484,-0.02%
2015_7_31_,1.2485,1.2557,1.247,1.2486,0.01%
2015_7_30_,1.2478,1.2503,1.2463,1.2485,0.06%
2015_7_29_,1.2486,1.2508,1.2461,1.2478,-0.06%
2015_7_28_,1.2484,1.2496,1.2472,1.2486,0.02%
2015_7_27_,1.2477,1.2524,1.2425,1.2484,-0.05%
2015_7_24_,1.2479,1.2493,1.247,1.249,0.09%
2015_7_23_,1.248,1.2504,1.2437,1.2479,-0.01%
2015_7_22_,1.2482,1.2496,1.2443,1.248,0.01%
2015_7_21_,1.2482,1.2494,1.245,1.2479,-0.02%
2015_7_20_,1.2482,1.2618,1.2468,1.2482,0.03%
2015_7_17_,1.2487,1.2492,1.2468,1.2478,-0.07%
2015_7_16_,1.248,1.2507,1.247,1.2487,0.06%
2015_7_15_,1.2484,1.2516,1.2469,1.248,-0.03%
2015_7_14_,1.2487,1.2496,1.247,1.2484,-0.02%
2015_7_13_,1.2447,1.2619,1.2426,1.2487,0.04%
2015_7_10_,1.2488,1.2512,1.2464,1.2482,-0.05%
2015_7_9_,1.2483,1.2517,1.2445,1.2488,0.04%
2015_7_8_,1.2485,1.2513,1.2472,1.2483,-0.02%
2015_7_7_,1.2487,1.2514,1.2388,1.2485,-0.02%
2015_7_6_,1.236,1.2517,1.2358,1.2487,-0.04%
2015_7_3_,1.2494,1.2518,1.2476,1.2492,-0.02%
2015_7_2_,1.2502,1.2538,1.2479,1.2494,-0.06%
2015_7_1_,1.2481,1.2542,1.2478,1.2502,0.14%
2015_6_30_,1.2487,1.2526,1.2473,1.2485,-0.05%
2015_6_29_,1.2278,1.2502,1.2278,1.2491,-0.02%
2015_6_26_,1.2479,1.2508,1.2453,1.2493,0.11%
2015_6_25_,1.2489,1.2505,1.2466,1.2479,-0.08%
2015_6_24_,1.2495,1.2502,1.2456,1.2489,-0.05%
2015_6_23_,1.2483,1.2527,1.2473,1.2495,0.10%
2015_6_22_,1.2497,1.2539,1.2471,1.2483,0.01%
2015_6_19_,1.2488,1.2497,1.2452,1.2482,-0.05%
2015_6_18_,1.2476,1.2533,1.2452,1.2488,0.05%
2015_6_17_,1.2485,1.2511,1.2376,1.2482,-0.02%
2015_6_16_,1.2487,1.2502,1.2471,1.2484,-0.02%
2015_6_15_,1.244,1.2497,1.2407,1.2487,-0.05%
2015_6_12_,1.2494,1.2522,1.2473,1.2493,-0.01%
2015_6_11_,1.2492,1.251,1.2456,1.2494,0.02%
2015_6_10_,1.2497,1.2516,1.2472,1.2492,-0.04%
2015_6_9_,1.2492,1.2512,1.2481,1.2497,0.04%
2015_6_8_,1.2488,1.2548,1.2459,1.2492,-0.03%
2015_6_5_,1.2502,1.2521,1.2467,1.2496,-0.05%
2015_6_4_,1.251,1.2538,1.247,1.2502,-0.05%
2015_6_3_,1.2505,1.2544,1.2493,1.2508,0.02%
2015_6_2_,1.2508,1.2526,1.2448,1.2505,-0.02%
2015_6_1_,1.2468,1.2528,1.2436,1.2508,0.01%
2015_5_29_,1.2505,1.2522,1.2491,1.2507,0.02%
2015_5_28_,1.251,1.2522,1.2464,1.2505,-0.03%
2015_5_27_,1.2492,1.2522,1.2485,1.2509,0.14%
2015_5_26_,1.2495,1.2513,1.2474,1.2492,-0.02%
2015_5_25_,1.2479,1.2512,1.2439,1.2494,-0.08%
2015_5_22_,1.2513,1.2538,1.247,1.2504,-0.07%
2015_5_21_,1.2503,1.2526,1.2484,1.2513,0.08%
2015_5_20_,1.2488,1.2515,1.2439,1.2503,0.12%
2015_5_19_,1.2498,1.2508,1.2478,1.2488,-0.08%
2015_5_18_,1.2487,1.2552,1.2455,1.2498,0.04%
2015_5_15_,1.2501,1.2507,1.2457,1.2493,-0.06%
2015_5_14_,1.2496,1.2513,1.2467,1.2501,0.04%
2015_5_13_,1.2488,1.2521,1.2476,1.2496,0.06%
2015_5_12_,1.2488,1.2514,1.2472,1.2488,0.00%
2015_5_11_,1.2476,1.2499,1.2407,1.2488,-0.03%
2015_5_8_,1.2492,1.2525,1.2468,1.2492,0.00%
2015_5_7_,1.2502,1.2516,1.2477,1.2492,-0.08%
2015_5_6_,1.2496,1.2528,1.2476,1.2502,0.05%
2015_5_5_,1.2486,1.2507,1.2456,1.2496,0.07%
2015_5_4_,1.2464,1.2499,1.2452,1.2487,0.09%
2015_5_1_,1.2488,1.2574,1.2453,1.2476,-0.13%
2015_4_30_,1.2504,1.2519,1.2448,1.2492,-0.10%
2015_4_29_,1.2492,1.2533,1.2459,1.2504,0.10%
2015_4_28_,1.2466,1.2508,1.2459,1.2492,0.21%
2015_4_27_,1.2497,1.2519,1.2442,1.2466,-0.42%
2015_4_24_,1.2503,1.2532,1.2481,1.2518,0.10%
2015_4_23_,1.2512,1.2523,1.2452,1.2506,-0.05%
2015_4_22_,1.2502,1.2525,1.2487,1.2512,0.08%
2015_4_21_,1.2498,1.2524,1.2472,1.2502,0.00%
2015_4_20_,1.251,1.253,1.2461,1.2502,-0.08%
2015_4_17_,1.2513,1.2529,1.2465,1.2512,0.02%
2015_4_16_,1.2494,1.2525,1.2438,1.2509,0.11%
2015_4_15_,1.2481,1.2584,1.2388,1.2495,0.11%
2015_4_14_,1.2467,1.2502,1.2452,1.2481,0.11%
2015_4_13_,1.2485,1.2664,1.245,1.2467,-0.10%
2015_4_10_,1.2493,1.253,1.2468,1.2479,-0.11%
2015_4_9_,1.2492,1.2522,1.2475,1.2493,0.01%
2015_4_8_,1.2508,1.2535,1.2474,1.2492,-0.13%
2015_4_7_,1.2566,1.259,1.2498,1.2508,-0.46%
2015_4_6_,1.2642,1.2683,1.2545,1.2566,-0.37%
2015_4_3_,1.2492,1.2672,1.2487,1.2613,0.97%
2015_4_2_,1.2512,1.253,1.2483,1.2492,-0.16%
2015_4_1_,1.2504,1.2532,1.2483,1.2512,0.06%
2015_3_31_,1.2492,1.2525,1.2481,1.2504,0.10%
2015_3_30_,1.2468,1.2506,1.2437,1.2492,0.13%
2015_3_27_,1.249,1.252,1.2451,1.2476,-0.11%
2015_3_26_,1.2481,1.2542,1.2466,1.249,0.07%
2015_3_25_,1.2494,1.251,1.2459,1.2481,-0.10%
2015_3_24_,1.2481,1.2512,1.2469,1.2494,0.10%
2015_3_23_,1.251,1.2516,1.2458,1.2481,-0.17%
2015_3_20_,1.2526,1.2556,1.2471,1.2502,-0.17%
2015_3_19_,1.2455,1.254,1.244,1.2523,0.55%
2015_3_18_,1.242,1.2554,1.2128,1.2455,0.27%
2015_3_17_,1.2397,1.2436,1.2388,1.2421,0.19%
2015_3_16_,1.2398,1.2572,1.2387,1.2397,-0.10%
2015_3_13_,1.2399,1.2448,1.2388,1.2409,0.09%
2015_3_12_,1.2406,1.2418,1.238,1.2398,-0.06%
2015_3_11_,1.2386,1.2447,1.2376,1.2406,0.16%
2015_3_10_,1.2388,1.2419,1.2376,1.2386,0.02%
2015_3_9_,1.2385,1.2398,1.2375,1.2383,0.01%
2015_3_6_,1.2377,1.2406,1.2367,1.2382,0.04%
2015_3_5_,1.2362,1.2393,1.2357,1.2377,0.12%
2015_3_4_,1.2362,1.238,1.2354,1.2362,0.00%
2015_3_3_,1.2355,1.239,1.2346,1.2362,0.06%
2015_3_2_,1.2333,1.2377,1.2333,1.2355,-0.20%
2015_2_27_,1.2387,1.2398,1.2357,1.238,-0.07%
2015_2_26_,1.2394,1.2418,1.2376,1.2389,-0.05%
2015_2_25_,1.2415,1.2453,1.2378,1.2395,-0.15%
2015_2_24_,1.2395,1.243,1.2362,1.2414,0.16%
2015_2_23_,1.2403,1.2421,1.2382,1.2394,-0.09%
2015_2_20_,1.2402,1.2422,1.2358,1.2405,0.02%
2015_2_19_,1.2405,1.2415,1.2376,1.2402,-0.02%
2015_2_18_,1.2399,1.2444,1.239,1.2405,0.05%
2015_2_17_,1.2419,1.2428,1.2376,1.2399,-0.15%
2015_2_16_,1.244,1.2473,1.2404,1.2418,-0.08%
2015_2_13_,1.2412,1.2439,1.2408,1.2428,0.14%
2015_2_12_,1.2416,1.2444,1.2403,1.2411,-0.06%
2015_2_11_,1.2428,1.2442,1.2408,1.2418,-0.09%
2015_2_10_,1.2407,1.2438,1.2406,1.2429,0.18%
2015_2_9_,1.2412,1.2441,1.2386,1.2407,-0.06%
2015_2_6_,1.2395,1.2432,1.239,1.2414,0.15%
2015_2_5_,1.2408,1.2418,1.2334,1.2396,-0.10%
2015_2_4_,1.2386,1.2435,1.2383,1.2408,0.18%
2015_2_3_,1.2387,1.2406,1.2345,1.2386,0.06%
2015_2_2_,1.2422,1.2608,1.2372,1.2379,-0.19%
2015_1_30_,1.241,1.242,1.2385,1.2402,-0.08%
2015_1_29_,1.2408,1.2439,1.2393,1.2412,0.01%
2015_1_28_,1.2424,1.2463,1.2387,1.2411,-0.11%
2015_1_27_,1.2394,1.2444,1.2384,1.2425,0.23%
2015_1_26_,1.2365,1.2463,1.2365,1.2397,-0.34%
2015_1_23_,1.249,1.2519,1.2421,1.2439,-0.38%
2015_1_22_,1.2484,1.2519,1.2459,1.2487,0.06%
2015_1_21_,1.2472,1.2659,1.2459,1.2479,0.05%
2015_1_20_,1.2469,1.249,1.2453,1.2473,0.04%
2015_1_19_,1.2481,1.2493,1.2453,1.2468,-0.13%
2015_1_16_,1.2533,1.2537,1.2437,1.2484,-0.39%
2015_1_15_,1.2514,1.2591,1.2408,1.2533,0.15%
2015_1_14_,1.2516,1.2539,1.25,1.2514,-0.02%
2015_1_13_,1.2493,1.2528,1.2488,1.2516,0.19%
2015_1_12_,1.2525,1.2527,1.2484,1.2492,-0.02%
2015_1_9_,1.2481,1.251,1.2464,1.2495,0.10%
2015_1_8_,1.248,1.2501,1.246,1.2483,0.02%
2015_1_7_,1.2493,1.2502,1.2448,1.2481,-0.11%
2015_1_6_,1.2467,1.2518,1.246,1.2495,0.22%
2015_1_5_,1.2445,1.2488,1.2419,1.2467,-0.25%
2015_1_2_,1.2487,1.2671,1.2444,1.2498,0.03%
2014_12_31_,1.2505,1.2532,1.2487,1.2494,-0.10%
2014_12_30_,1.2468,1.2533,1.2441,1.2507,0.32%
2014_12_29_,1.2454,1.2503,1.2454,1.2467,0.02%
2014_12_26_,1.249,1.2504,1.245,1.2464,-0.22%
2014_12_25_,1.2528,1.2539,1.248,1.2491,-0.03%
2014_12_24_,1.2458,1.25,1.2446,1.2495,0.30%
2014_12_23_,1.2467,1.2472,1.2445,1.2458,-0.07%
2014_12_22_,1.2458,1.2665,1.2456,1.2467,0.05%
2014_12_19_,1.2483,1.2483,1.2446,1.2461,-0.18%
2014_12_18_,1.2515,1.2525,1.2458,1.2484,-0.24%
2014_12_17_,1.2532,1.2577,1.2481,1.2514,-0.14%
2014_12_16_,1.2518,1.2543,1.2504,1.2532,0.09%
2014_12_15_,1.2536,1.2564,1.2509,1.2521,-0.10%
2014_12_12_,1.2528,1.2565,1.2508,1.2534,0.05%
2014_12_11_,1.2548,1.2565,1.2512,1.2528,-0.28%
2014_12_10_,1.2527,1.2568,1.2508,1.2563,0.29%
2014_12_9_,1.2552,1.2561,1.2487,1.2527,-0.19%
2014_12_8_,1.2612,1.2617,1.251,1.2551,-0.42%
2014_12_5_,1.2594,1.2631,1.2586,1.2604,0.08%
2014_12_4_,1.2609,1.2664,1.2556,1.2594,-0.13%
2014_12_3_,1.2611,1.2643,1.2589,1.261,0.00%
2014_12_2_,1.2605,1.2649,1.2588,1.261,0.04%
2014_12_1_,1.2602,1.2637,1.259,1.2605,-0.20%
2014_11_28_,1.2627,1.2653,1.2605,1.263,0.02%
2014_11_27_,1.263,1.265,1.2617,1.2627,-0.02%
2014_11_26_,1.2641,1.2695,1.2618,1.263,-0.09%
